ingredient,density
"Coffee, green (beans)","0,6"
"Coffee, powder (nescafé)","0,25"
"Coffee, roasted (beans)","0,625"
Cocoa powder,"0,5"
Milk,
Milk (powdered whole),"0,56"
Milk (powdered),"0,21"
"Milk shake, fruit and other",1
"Milk, buttermilk","1,022"
"Milk, cow, whole","1,04"
"Milk, goat, whole","1,08"
"Milk, liquid, partially skimmed","1,034"
"Milk, liquid, skimmed","1,033"
"Milk, liquid, whole","1,030"
Dairy products,
Butter,"0,911"
Margarine,"0,96"
"Buttermilk, dried","0,5"
Casein,"0,58"
"Cheese, emmentaler, grated","0,34"
"Cream, 13% fat","1,013"
"Cream, 38% fat","0,984"
"Cream, 9% fat","1,017"
"Cream, heavy","0,994"
"Cream, light","1,012"
"Cream, sour (crème fraiche about 18% fat)","1,005"
"Cream, sour (crème fraiche about 38% fat)","0,978"
"Cream, whipped","0,496"
Ice cream,"0,554"
Ice milk,"0,56"
"Ice cream, light, no sugar added","0,58"
"Ice cream, no sugar added","0,54"
"Ice cream, rich","0,62"
"Sour milk, cow, whole","0,98"
Yoghurt,"1,06"
Oils,
Cooking oil,"0,88"
Palm oil,"0,89"
Peanut oil,"0,92"
Sesame oil,153.23.00
Sunflower oil,"0,96"
Coconut oil,"0,924"
Corn oil,"0,922"
Olive oil,"0,918"
Peanut oil,"0,914"
Soybean oil,"0,927"
Vegetable oil,"0,9185"
Fats and other,
Animal fat,"0,7"
Lard,"0,919"
"Mayonnaise, light",1
"Mayonnaise, traditional","0,91"
Solid vegetable fat kimbo,"0,6"
Solid vegetable fat rina,"0,67"
Malted barley flour,"0,68"
Finely ground barley,"0,74"
Barley meal,"0,45"
Barley flour,"0,61"
Ground barley,"0,4"
Malted barley,"0,49"
Rolled barley,"0,36"
Soured barley,"0,66"
Whole barley,"0,65"
Biscuits,"0,47"
Bran,"0,56"
Bread,"0,29"
Cornbread,"0,433"
Soft breadroll,"0,18"
White bread,"0,42"
Breadcrumbs,"0,45"
Cornflakes,"0,117"
Muesli,"0,37"
Raisin bran,"0,26"
Cheerios,"0,13"
Crispix,"0,13"
Frosted flakes,"0,18"
Rice crispies,"0,12"
Buckwheat bran,"0,25"
Buckwheat flour,"0,66"
Whole buckwheat,"0,625"
Fermented bulrush mille flour,"0,56"
Cake,"0,415"
Cake mix,"0,7"
